total_cost,cost_per_1000,pass_share,review_share,action_share,n_review,tp,fp,fn,tn,caught_in_review,lo,hi
543182.476208,20604.75215112662,0.8011531750246567,0.16227903800925575,0.03656778696608755,4278,839,125,21,21099,71,0.004,0.3
542897.095504,20593.926693877547,0.8011531750246567,0.16277217206585237,0.03607465290949093,4291,835,116,21,21099,75,0.004,0.31101694915254235
542897.095504,20593.926693877547,0.8011531750246567,0.16277217206585237,0.03607465290949093,4291,835,116,21,21099,75,0.004,0.3220338983050847
542897.095504,20593.926693877547,0.8011531750246567,0.16277217206585237,0.03607465290949093,4291,835,116,21,21099,75,0.004,0.3330508474576271
542338.9242400001,20572.75336620894,0.8011531750246567,0.16345497306729384,0.035391851908049464,4309,829,104,21,21099,81,0.004,0.34406779661016945
542338.9242400001,20572.75336620894,0.8011531750246567,0.16345497306729384,0.035391851908049464,4309,829,104,21,21099,81,0.004,0.3550847457627119
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.36610169491525424
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.3771186440677966
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.38813559322033897
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.39915254237288134
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.4101694915254237
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.42118644067796607
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.43220338983050843
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.4432203389830508
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.45423728813559316
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.46525423728813553
527631.1030560001,20014.835864350203,0.8011531750246567,0.16576890979440104,0.03307791518094227,4370,807,65,21,21099,103,0.004,0.4762711864406779
