total_cost,cost_per_1000,pass_share,review_share,action_share,n_review,tp,fp,fn,tn,caught_in_review,threshold
13987152.0884,461683.1294032216,0.0,0.0,1.0,0,978,29318,0,0,0,0.0
13987152.0884,461683.1294032216,0.0,0.0,1.0,0,978,29318,0,0,0,0.0
12252220.757199999,404417.1097570636,0.13628861895959862,0.0,0.8637113810404013,0,978,25189,0,4129,0,0.0011487650775416428
5782729.7444,190874.36441774492,0.5960192764721416,0.0,0.40398072352785847,0,962,11277,16,18041,0,0.0015022533800701052
3756254.2096,123985.1534724056,0.7278518616318986,0.0,0.2721481383681014,0,956,7289,22,22029,0,0.0023264831329972858
2473274.6120000007,81637.00198045949,0.8129786110377608,0.0,0.18702138896223924,0,950,4716,28,24602,0,0.002574002574002574
2089273.79,68962.03426194878,0.8386255611301822,0.0,0.1613744388698178,0,948,3941,30,25377,0,0.004807692307692308
1084816.9300000002,35807.265975706374,0.9072814893055189,0.0,0.09271851069448112,0,938,1871,40,27447,0,0.005333333333333333
913584.3616,30155.279957750197,0.9196593609717455,0.0,0.08034063902825456,0,936,1498,42,27820,0,0.00819672131147541
858356.6072,28332.34114074465,0.9236862952204912,0.0,0.07631370477950884,0,935,1377,43,27941,0,0.014925373134328358
719497.1304,23748.915051491946,0.9347438605756535,0.0,0.06525613942434645,0,930,1047,48,28271,0,0.017766497461928935
545326.9124,17999.964100871402,0.9477488777396356,0.0,0.05225112226036441,0,923,660,55,28658,0,0.027989821882951654
324626.8852,10715.17313176657,0.9614470557169263,0.0,0.038552944283073674,0,911,257,67,29061,0,0.10526315789473684
318737.9492,10520.793147610246,0.9627013467124372,0.0,0.03729865328756272,0,907,223,71,29095,0,0.1293103448275862
300838.92960000003,9929.988434116716,0.9665302350145234,0.0,0.03346976498547663,0,892,122,86,29196,0,0.17647058823529413
330433.56440000003,10906.838011618696,0.9691378399788751,0.0,0.0308621600211249,0,873,62,105,29256,0,0.5128205128205128
691037.1407999999,22809.51745444943,0.9721745444943227,0.0,0.02782545550567732,0,811,32,167,29286,0,0.8918918918918919
776949.7112,25645.290176921048,0.973395827832057,0.0,0.026604172167942964,0,778,28,200,29290,0,0.96
3857558.7736,127328.9798521257,0.9940256139424346,0.0,0.005974386057565355,0,178,3,800,29315,0,0.9743589743589743
4273788.0879999995,141067.73461843148,0.9966002112490098,0.0,0.0033997887509902296,0,102,1,876,29317,0,0.98
4540737.92,149879.12331660945,0.99825059413784,0.0,0.0017494058621600212,0,53,0,925,29318,0,1.0
4540737.92,149879.12331660945,0.99825059413784,0.0,0.0017494058621600212,0,53,0,925,29318,0,1.0
