total_cost,cost_per_1000,pass_share,review_share,action_share,n_review,tp,fp,fn,tn,caught_in_review,threshold
22919147.783600003,460094.50723892887,0.0,0.0,1.0,0,1476,48338,0,0,0,0.0
22919147.783600003,460094.50723892887,0.0,0.0,1.0,0,1476,48338,0,0,0,0.0
22599670.7984,453681.1096960694,0.017525193720640785,0.0,0.9824748062793592,0,1476,47465,0,873,0,0.000357653791130186
21514801.118,431902.70040550845,0.0736539928534147,0.0,0.9263460071465853,0,1475,44670,1,3668,0,0.0009991911309891993
11891930.5572,238726.6743726663,0.4955634962058859,0.0,0.5044365037941141,0,1454,23674,22,24664,0,0.0012082158679017317
10662107.064399999,214038.36400208774,0.5454089211868149,0.0,0.45459107881318506,0,1451,21194,25,27144,0,0.0012686330478908975
9124417.220800001,183169.7358332999,0.6087043802946963,0.0,0.39129561970530374,0,1447,18045,29,30293,0,0.0013116474291710388
7313881.658000001,146823.81776207493,0.6852290520737142,0.0,0.3147709479262858,0,1442,14238,34,34100,0,0.0017271157167530224
7037584.226,141277.2358373148,0.6968522905207372,0.0,0.30314770947926284,0,1441,13660,35,34678,0,0.004145077720207254
6578738.7468,132066.06068173604,0.7162243545991087,0.0,0.28377564540089134,0,1437,12699,39,35639,0,0.004688908926961226
3887447.0072000003,78039.24613963946,0.8275384430079897,0.0,0.17246155699201027,0,1411,7180,65,41158,0,0.005813953488372093
2317518.9484,46523.446187818685,0.8931424900630345,0.0,0.10685750993696551,0,1392,3931,84,44407,0,0.0071174377224199285
1361336.8436,27328.398514473844,0.9326293812984302,0.0,0.06737061870156984,0,1378,1978,98,46360,0,0.019762845849802372
1244191.2676,24976.73882041193,0.9377082747821898,0.0,0.062291725217810255,0,1373,1730,103,46608,0,0.019927536231884056
986396.5852000001,19801.593632312204,0.9487894969285743,0.0,0.0512105030714257,0,1362,1189,114,47149,0,0.02666666666666667
911878.7272000001,18305.671642510137,0.9518006985987875,0.0,0.04819930140121251,0,1358,1043,118,47295,0,0.03686635944700461
850146.3564,17066.41418878227,0.9561569036816959,0.0,0.04384309631830409,0,1350,834,126,47504,0,0.0425531914893617
782850.7812000001,15715.477199180954,0.9594090014855261,0.0,0.04059099851447384,0,1343,679,133,47659,0,0.06578947368421052
698498.748,14022.137310796163,0.9639860280242503,0.0,0.03601397197574979,0,1328,466,148,47872,0,0.1015625
663179.8488,13313.121789055285,0.9698277592644639,0.0,0.030172240735536194,0,1298,205,178,48133,0,0.2033898305084746
746096.4039999999,14977.644919099046,0.9721564218894286,0.0,0.027843578110571324,0,1269,118,207,48220,0,0.3333333333333333
1209407.8604,24278.473128036294,0.9748464287148191,0.0,0.02515357128518087,0,1199,54,277,48284,0,0.7647058823529411
1618764.4992,32496.175757819088,0.9760910587385072,0.0,0.023908941261492754,0,1149,42,327,48296,0,0.9496402877697842
2215806.3536,44481.59861886217,0.9788814389529048,0.0,0.021118561047095193,0,1017,35,459,48303,0,0.9551451187335093
3991031.9392,80118.6802746216,0.9864897418396434,0.0,0.013510258160356526,0,655,18,821,48320,0,0.9653465346534653
4731582.318,94984.99052475208,0.9905448267555306,0.0,0.009455173244469426,0,460,11,1016,48327,0,0.9705882352941176
5186651.8224,104120.36420283453,0.9925924438912755,0.0,0.007407556108724455,0,361,8,1115,48330,0,0.970873786407767
6247268.441199999,125411.9010960774,0.9967278275183683,0.0,0.0032721724816316697,0,161,2,1315,48336,0,0.9759036144578314
6612052.88,132734.8311719597,0.9983940257758863,0.0,0.0016059742241137029,0,80,0,1396,48338,0,1.0
6612052.88,132734.8311719597,0.9983940257758863,0.0,0.0016059742241137029,0,80,0,1396,48338,0,1.0
