total_cost,cost_per_1000,pass_share,review_share,action_share,n_review,tp,fp,fn,tn,caught_in_review,threshold
11989080.844800001,454786.46706623177,0.0,0.0,1.0,0,931,25431,0,0,0,0.0
11989080.844800001,454786.46706623177,0.0,0.0,1.0,0,931,25431,0,0,0,0.0
11970562.9284,454084.01974053564,0.0019346028374174948,0.0,0.9980653971625825,0,931,25380,0,51,0,0.00036900369003690036
10934122.7252,414768.33036947116,0.10473408694332752,0.0,0.8952659130566725,0,930,22671,1,2760,0,0.0005159515005589474
5523726.5332,209533.6671420985,0.5458614672634853,0.0,0.45413853273651467,0,924,11048,7,14383,0,0.0015645371577574967
3654514.6968,138628.12748653366,0.6913360139594872,0.0,0.30866398604051287,0,918,7219,13,18212,0,0.0023059185242121443
3016391.1508,114421.93880585692,0.7406873530081177,0.0,0.2593126469918823,0,915,5921,16,19510,0,0.002881844380403458
2514573.9004,95386.30985509447,0.780176010924816,0.0,0.21982398907518397,0,912,4883,19,20548,0,0.003616636528028933
2252940.2892,85461.66031408847,0.8011531750246567,0.0,0.19884682497534328,0,910,4332,21,21099,0,0.004735256134309083
1153443.6944,43754.028313481525,0.8892724375995752,0.0,0.11072756240042485,0,899,2020,32,23411,0,0.01488095238095238
831888.8467999999,31556.3632046127,0.9147636749867233,0.0,0.08523632501327669,0,889,1358,42,24073,0,0.017633369137117123
831888.8467999999,31556.3632046127,0.9147636749867233,0.0,0.08523632501327669,0,889,1358,42,24073,0,0.01881720430107527
656383.1312000001,24898.836628480392,0.9288748956831804,0.0,0.07112510431681966,0,882,993,49,24438,0,0.028901734104046242
522382.56039999996,19815.74085425992,0.9419998482664441,0.0,0.058000151733555876,0,872,657,59,24774,0,0.034482758620689655
500413.80480000004,18982.391502920873,0.9441999848266445,0.0,0.05580001517335559,0,870,601,61,24830,0,0.047619047619047616
490303.74600000004,18598.882709961308,0.9449965859949928,0.0,0.05500341400500721,0,869,581,62,24850,0,0.04830917874396135
440102.94720000005,16694.596282527884,0.9528487975115697,0.0,0.04715120248843031,0,859,384,72,25047,0,0.05128205128205128
380551.3548,14435.602564297094,0.9572870040209392,0.0,0.04271299597906077,0,853,273,78,25158,0,0.06521739130434782
481447.8872,18262.949973446626,0.9646081480919505,0.0,0.035391851908049464,0,829,104,102,25327,0,0.36065573770491804
562340.7612000001,21331.490827706548,0.9670738183749337,0.0,0.032926181625066386,0,805,63,126,25368,0,0.6470588235294118
685521.8156,26004.16567786966,0.96904635460132,0.0,0.030953645398679917,0,770,46,161,25385,0,0.7575757575757576
986941.1891999999,37438.024019421886,0.9723086260526516,0.0,0.027691373947348455,0,702,28,229,25403,0,0.88
1507365.1796,57179.46967604885,0.9761019649495486,0.0,0.02389803505045141,0,614,16,317,25415,0,0.967741935483871
2589401.062,98224.75768151127,0.9843335103558152,0.0,0.015666489644184812,0,404,9,527,25422,0,0.9727626459143969
3863916.5,146571.44753812306,0.9940823913208406,0.0,0.005917608679159396,0,154,2,777,25429,0,0.9795918367346939
4122169.6119999997,156367.86328806615,0.9959411273803201,0.0,0.004058872619679842,0,106,1,825,25430,0,0.9803921568627451
4381847.68,166218.3324482209,0.9978757302177377,0.0,0.002124269782262347,0,56,0,875,25431,0,1.0
4381847.68,166218.3324482209,0.9978757302177377,0.0,0.002124269782262347,0,56,0,875,25431,0,1.0
