knob,setting,setting_value,fn_at_2000,fp_at_2000,single_threshold,band_lo,band_hi,review_share,action_share,cost_3band_reselected,cost_3band_as_shipped,cost_single,cost_do_nothing,cost_block_all_cod,beats_single,beats_nothing,shipped_beats_single,shipped_beats_nothing,regret_of_shipped,band_structure_survives,note
none,baseline,0.0,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9198.436831412855,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
fn_fixed,-50%,-0.5,1540.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8936.50243545991,8936.50243545991,12955.792524189988,137841.39398562652,460094.50723892875,True,True,True,True,0.0,True,
fn_fixed,-25%,-0.25,1590.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9067.469633436383,9067.469633436383,13134.457156622639,139322.90520737143,460094.50723892875,True,True,True,True,0.0,True,
fn_fixed,+25%,0.25,1690.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9329.404029389327,9329.404029389327,13491.786421487936,142285.9276508612,460094.50723892875,True,True,True,True,0.0,True,
fn_fixed,+50%,0.5,1740.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9460.3712273658,9460.3712273658,13670.451053920586,143767.43887260612,460094.50723892875,True,True,True,True,0.0,True,
fn_variable,-50%,-0.5,920.0,441.4,0.2033898305084746,0.049846153846153846,0.6166666666666666,0.014293170594611956,0.026297827919861887,6555.619272011885,6632.965566306661,8629.472212630986,73365.23065804793,460094.50723892875,True,True,True,True,77.34629429477536,True,
fn_variable,-25%,-0.25,1280.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,7915.701198859759,7915.701198859759,10971.297000843137,107084.82354358213,460094.50723892875,True,True,True,True,0.0,True,
fn_variable,+25%,0.25,1999.9999999999998,441.4,0.1015625,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,10481.172463965955,10481.172463965955,15644.016300638374,174524.0093146505,460094.50723892875,True,True,True,True,0.0,True,
fn_variable,+50%,0.5,2200.0,441.4,0.1015625,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,11193.803370939897,11193.803370939897,16545.060183884052,193257.1164732806,460094.50723892875,True,True,True,True,0.0,True,product_loss_fraction clipped at 1.0
fp_fixed,-50%,-0.5,1640.0,281.9,0.1015625,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8549.729640663265,8549.729640663265,12530.04673384992,140804.4164291163,305320.5280362951,True,True,True,True,0.0,True,
fp_fixed,-25%,-0.25,1640.0,361.65,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8874.083236038061,8874.083236038061,12984.925900349299,140804.4164291163,382707.5176376119,True,True,True,True,0.0,True,
fp_fixed,+25%,0.25,1640.0,521.15,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9522.79042678765,9522.79042678765,13641.317677761272,140804.4164291163,537481.4968402458,True,True,True,True,0.0,True,
fp_fixed,+50%,0.5,1640.0,600.9,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9847.144022162445,9847.144022162445,13969.513566467258,140804.4164291163,614868.4864415627,True,True,True,True,0.0,True,
fp_variable,-50%,-0.5,1640.0,380.2,0.1015625,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8415.47660818244,8415.47660818244,12044.022443489781,140804.4164291163,384821.23282209825,True,True,True,True,0.0,True,
fp_variable,-25%,-0.25,1640.0,410.8,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8806.956719797647,8806.956719797647,12833.526651142249,140804.4164291163,422457.87003051356,True,True,True,True,0.0,True,
fp_variable,+25%,0.25,1640.0,472.0,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9589.916943028065,9589.916943028065,13792.716926968322,140804.4164291163,497731.14444734406,True,True,True,True,0.0,True,
fp_variable,+50%,0.5,1640.0,502.6,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9981.397054643272,9981.397054643272,14272.312064881358,140804.4164291163,535367.7816557594,True,True,True,True,0.0,True,
review_precision,70%,0.7,1640.0,441.4,0.2033898305084746,0.08041025641025641,0.31666666666666665,0.008170393865178463,0.027843578110571324,12558.167647649254,13302.82880314771,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,744.6611554984556,True,
review_precision,75%,0.75,1640.0,441.4,0.2033898305084746,0.08041025641025641,0.31666666666666665,0.008170393865178463,0.027843578110571324,12007.373629903243,12162.719922110247,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,155.3462922070048,True,
review_precision,80%,0.8,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,11022.611041072789,11022.611041072789,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
review_precision,85%,0.85,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9882.502160035332,9882.502160035332,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
review_precision,90%,0.9,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,8742.393278997872,8742.393278997872,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
review_precision,95%,0.95,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.6166666666666666,0.021901473481350624,0.026297827919861887,7483.294937969247,7602.284397960414,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,118.98945999116677,True,
max_review_share,2%,0.02,1640.0,441.4,0.2033898305084746,0.049846153846153846,0.35,0.013650780904966475,0.026940217609507367,9855.478018227808,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,-657.0411868149531,True,
max_review_share,3%,0.03,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9198.436831412855,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
max_review_share,5%,0.05,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9198.436831412855,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
max_review_share,7%,0.07,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9198.436831412855,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
max_review_share,10%,0.1,1640.0,441.4,0.2033898305084746,0.03456410256410256,0.35,0.021259083791705144,0.026940217609507367,9198.436831412855,9198.436831412855,13313.121789055285,140804.4164291163,460094.50723892875,True,True,True,True,0.0,True,
