feature,gain,split
comp_growth_d7,98481.61329746246,477
comp_size,71750.81332188845,161
comp_orders_d30,52965.085085332394,603
comp_mean_tenure_days,39052.69292420149,1181
cust_tenure_days,28456.21132493019,1381
addr_age_days,13938.437196433544,1159
value_inr,10559.862865775824,1713
comp_orders_d7,10538.684783101082,736
comp_max_tenure_days,10276.931350409985,1213
comp_orders_share,8998.951565384865,1309
value_over_cat_mean,8416.8429068923,1960
cat_return_rate_prior,7598.702048510313,2220
pin_return_rate,6395.277890980244,2409
pin_cust_share,5408.97710826993,2100
cust_orders_d30,4879.016606271267,617
pin_orders_share,4744.45280623436,1878
dev_orders_per_day,3285.9110887646675,718
comp_orders_per_member_per_day,3142.266230940819,734
log_value,3069.092462837696,510
hour_of_day,3036.9602551162243,1304
dev_return_rate,2928.358685582876,493
comp_cod_share,2926.2850590348244,816
comp_distinct_addr_clusters,2810.943693935871,147
addr_orders_per_day,2742.4645586013794,720
cust_orders_per_day,2571.6390318870544,678
cust_cod_share,2465.3903346061707,594
cust_value_z,2421.1997236013412,866
comp_return_rate,1978.3391161561012,467
addr_return_rate,1907.3588829040527,433
cust_days_since_last,1893.9312054514885,558
addr_distinct_customers,1856.6958616375923,146
day_of_week,1691.4249432086945,729
cust_return_rate,1558.9655208587646,290
cust_orders_d7,1262.7097285687923,413
cat_grocery,1188.4021283388138,59
item_count,1030.966359615326,325
promo_used,761.7041260004044,154
dev_distinct_customers,669.9544201493263,169
comp_distinct_devices,300.8376060128212,108
cust_distinct_devices,221.10723242163658,47
phone_neighbours_active,170.98297709226608,65
phone_neighbour_orders,144.0536209344864,50
cat_footwear,134.8959955573082,54
cat_beauty,110.15347689390182,43
cat_apparel,65.07298988103867,27
addr_is_new_variant_of_known_cluster,50.457157492637634,25
cat_electronics,41.304030656814575,13
is_night,40.1157101392746,18
cust_distinct_addr_clusters,34.6918340921402,10
