metric,ramped,flat_signup
n_orders,115690.0,93392.0
n_abuse,1824.0,1795.0
base_rate,0.015766271933615697,0.019220061675518246
pr_auc,0.6712477460855959,0.8590179955789236
precision_auto_action,0.3993600930773706,0.9196988707653702
recall_auto_action,0.7527412280701754,0.8167130919220056
review_share,0.09719076843288098,0.007034863799897207
cost_per_1000_policy,26294.36327150143,8841.392369025183
legit test orders from unseen customers,0.505,0.3117
"median tenure, legit test orders (days)",331.6,649.6
"COD orders, month 1",8683.0,10837.0
"COD orders, month 18",27624.0,16138.0
